Filename;Period;Date;Item;Speech #;Paragraph #;Speaker;Role;Gender;Party;Sentences;Mentioned parties;Interjection Type;Interjecting Party;Interjecting Person;Interjection Content;Specific Class;Sentence Class (Reinig);Interjection Class (Burkhardt);Sentence finished
BT_19_236.xml;19;24.06.2021;Antrag der Abgeordneten Dr. Gottfried Curio, Dr. Bernd Baumann, Peter Boehringer, weiterer Abgeordneter und der Fraktion der AfD: Schutzbedürftigkeit von Asylbewerbern wiederkehrend prüfen;32710;13;Gottfried Curio;mp;männlich;AfD;Auch die FDP hält die Grenzen mit auf.;FDP;Verbal;FDP;Benjamin Strasser;Das ist jetzt aber eine Erkenntnis! Da haben Sie vier Jahre gebraucht, um das zu erkennen!;Zuruf;Accusation;Evaluativa;True
BT_19_236.xml;19;24.06.2021;Antrag der Abgeordneten Dr. Gottfried Curio, Dr. Bernd Baumann, Peter Boehringer, weiterer Abgeordneter und der Fraktion der AfD: Schutzbedürftigkeit von Asylbewerbern wiederkehrend prüfen;32715;1;Helge Lindh;mp;männlich;SPD;Die Rufe der AfD kommen wie üblich.;AfD;Verbal;AfD;Andreas Bleck;Sie haben einen eigenen Fanklub!;Zuruf;Accusation, Report;Memoranda ;True
BT_19_236.xml;19;24.06.2021;Antrag der Abgeordneten Dr. Gottfried Curio, Dr. Bernd Baumann, Peter Boehringer, weiterer Abgeordneter und der Fraktion der AfD: Schutzbedürftigkeit von Asylbewerbern wiederkehrend prüfen;32715;4;Helge Lindh;mp;männlich;SPD;Wie lautet nun in diesem politischen Prozess „Deutschland gegen die AfD“ die Anklage?;AfD;Verbal;AfD;Unknown;;Zuruf;Rhetorical Question;;True
BT_19_236.xml;19;24.06.2021;a) – Zweite und dritte Beratung des von der Bundesregierung eingebrachten Entwurfs eines Dritten Gesetzes zur Änderung des Bundesnaturschutzgesetzes;32720;5;Gero Clemens Hocker;mp;männlich;FDP;denn nachdem der Widerstand des CDU-geführten Landwirtschaftsministeriums in den letzten dreieinhalb Jahren gegenüber den größten ideologischen Fehlern, die häufig genug aus dem SPD-geführten Umweltministerium gekommen sind, so – ich nenne es mal ganz positiv – überschaubar gewesen ist, gibt es wenig Grund, daran zu glauben, dass der Widerstand eines CDU-geführten Landwirtschaftsministeriums größer wäre – zumal die Union bei solchen Landwirtschaftsfragen so durchgegrünt ist –, wenn eine Grüne oder ein Grüner an der Spitze des Umweltministeriums stehen würde.;GRUENE;Verbal;GRUENE;Steffi Lemke;Ist das eine Bewerbungsrede?;Zuruf;Accusation, Evaluation;Memoranda;True
BT_19_236.xml;19;24.06.2021;a) – Zweite und dritte Beratung des von der Bundesregierung eingebrachten Entwurfs eines Dritten Gesetzes zur Änderung des Bundesnaturschutzgesetzes;32724;2;Stephan Stracke;mp;männlich;CDU/CSU;Wir haben ja jetzt von den Grünen gehört, dass sie nicht für diesen Ausgleich sind.;GRUENE;Verbal;GRUENE;Steffi Lemke;Das stimmt nicht! Hätten Sie doch zugehört! Erzählen Sie nicht einen solchen Quatsch!;Zuruf;Accusation;Memoranda;True
BT_19_236.xml;19;24.06.2021;a) Beschlussempfehlung und Bericht des Ausschusses für Gesundheit;32735;7;Jörg Schneider;mp;männlich;AfD;Ja, und dann Die Linke: Sie kann mal wieder nicht so ganz ihre Herkunft aus dem real existierenden Sozialismus leugnen.;DIE LINKE;Verbal;DIE LINKE;Matthias W. Birkwald;Ach, Herr Schneider! Sie verwechseln uns mit unserer Vorvorvorvorgängerpartei! Keine Ahnung! Nicht nachgedacht!;Zuruf;Accusation;Evaluativa;True
BT_19_236.xml;19;24.06.2021;Zweite und dritte Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes zur Vereinheitlichung des Stiftungsrechts;32742;7;Fabian Jacobi;mp;männlich;AfD;Nein, konnte er nicht, jedenfalls nicht nach unserer Geschäftsordnung, hat er aber trotzdem, oder vielmehr: CDU/CSU und SPD haben es mit ihrer Mehrheit halt so beschlossen.;SPD;Verbal;SPD;Mechthild Rawert;;Zuruf;Accusation, Report;;True
BT_19_236.xml;19;24.06.2021;a) Antrag der Abgeordneten Stephan Brandner, Dr. Heiko Heßenkemper, Nicole Höchst, weiterer Abgeordneter und der Fraktion der AfD: Keine Verwendung der sogenannten gendergerechten Sprache durch die Bundesregierung;32750;7;Philipp Amthor;mp;männlich;CDU/CSU;– Den Antrag der AfD lehnen wir ab.;AfD;Verbal;AfD;Stephan Brandner;Wieder Klamauk, Herr Amthor!;Zuruf;Rejection;Evaluativa;True
BT_19_236.xml;19;24.06.2021;a) Antrag der Abgeordneten Stephan Brandner, Dr. Heiko Heßenkemper, Nicole Höchst, weiterer Abgeordneter und der Fraktion der AfD: Keine Verwendung der sogenannten gendergerechten Sprache durch die Bundesregierung;32751;1;Jürgen Martens;mp;männlich;FDP;Bei meiner letzten Rede muss ich mich wieder mit einem eher grobmotorischen Antrag der AfD beschäftigen, so wie bei meiner ersten Rede auch.;AfD;Verbal;AfD;Stephan Brandner;Sie haben ihn wieder nicht verstanden, Herr Martens! Geben Sie zu, dass Sie ihn wieder nicht verstanden haben!;Zuruf;Accusation;Direktiva, Evaluativa;True
BT_19_236.xml;19;24.06.2021;a) Antrag der Abgeordneten Stephan Brandner, Dr. Heiko Heßenkemper, Nicole Höchst, weiterer Abgeordneter und der Fraktion der AfD: Keine Verwendung der sogenannten gendergerechten Sprache durch die Bundesregierung;32752;18;Ulle Schauws;mp;weiblich;GRUENE;Vorzuschreiben, nur die männliche Sprache verwenden zu dürfen – weil Sie in der AfD sich mit dem Gendern schwertun –,;AfD;Verbal;AfD;Unknown;Das generische Maskulinum ist nicht männlich!;Zuruf;Accusation;Memoranda;False
